clevrExperiment
epoch,trainAcc,valAcc,trainLoss,valLoss,evalTrainAcc,evalTrainLoss,time,lr
1,0.5256211169032656,0.6752,0.9208387991513192,0.6234558566501647,0.6822,0.6214093720822623,18902.66573,0.0001
2,0.7579104814504228,0.9012,0.5247860681552323,0.24601073628838288,0.91,0.22697688521072973,28126.6507621,0.0001
3,0.8928640307204827,0.9362,0.2684920136305023,0.1614130935559374,0.9458,0.13693407967639912,30973.084069,0.0001
4,0.9217244842418952,0.95,0.1991550786989145,0.1272224478997652,0.9618,0.10257736333633974,28721.303421,0.0001
5,0.9360204231780785,0.9601,0.1645231942520032,0.10834437104584167,0.9712,0.08117299474562804,31696.0273912,0.0001
6,0.9458020054600857,0.9678,0.14056849147797768,0.0912960438660789,0.9767,0.06357918725311858,30041.752032,0.0001
7,0.9534049820782898,0.9699,0.12282224205974217,0.08434329046385204,0.982,0.05413513740078832,37983.3355851,0.0001
8,0.9583379167386916,0.9687,0.11076309616732563,0.07945743203293232,0.9849,0.046123870878821464,32435.4369822,0.0001
9,0.9709281145846578,0.9745,0.07708851867062055,0.06961020981325416,0.9874,0.03522107015730647,30865.9199891,5e-05
10,0.973893875475186,0.9749,0.06890431167722492,0.07222909961014473,0.9893,0.030838711571615215,29875.7408538,5e-05
11,0.9799396847664749,0.9759,0.052745760500513196,0.07118102797354561,0.9906,0.025377492095589278,31913.9121921,2.5e-05
12,0.9814525656831751,0.9763,0.048488997101636754,0.06818294684783613,0.992,0.022188963128158306,31896.2538259,2.5e-05
13,0.9847254742574526,0.977,0.040608465055863366,0.06868897366551167,0.993,0.019763782673395486,32924.0449231,1.25e-05
14,0.9864040720639896,0.9781,0.03580154320981831,0.06912752804111637,0.9931,0.018044936827299702,31378.6529799,6.25e-06
15,0.9869097942967675,0.9784,0.034311810743486514,0.06891026834019874,0.9932,0.016926777057210657,32264.871213,6.25e-06
16,0.9878626664133293,0.9784,0.031964526623745215,0.06987170064564219,0.9938,0.017145383372125705,32357.2489719,3.125e-06
17,0.9878855239153758,0.9785,0.031303218435559714,0.07080235744234087,0.9936,0.016514094625361724,31155.121906,3.125e-06
18,0.9881955287868809,0.9784,0.030845549262958016,0.0705126426670223,0.9942,0.015813698981686053,31607.871675,3.125e-06
19,0.9882512439481191,0.9786,0.03039972366682381,0.07272902436494184,0.9941,0.01555015925315394,32848.4038129,3.125e-06
20,0.9885926778849382,0.9784,0.029859990655214965,0.07178381540943313,0.9946,0.01450759901911613,31371.4267259,3.125e-06
21,0.9887269657094612,0.978,0.029246673782569878,0.0715043730162544,0.9946,0.014138375163775902,32021.5970199,3.125e-06
22,0.9889683980748268,0.9782,0.02889684464781571,0.0718201290266379,0.9944,0.0147620443152432,33483.7035949,3.125e-06
23,0.9889426833850247,0.9786,0.029013392881224394,0.07076137487508868,0.9943,0.013640544872153701,31325.250478,3.125e-06
24,0.9892041160646811,0.9784,0.028345251538264612,0.07169384255794095,0.9946,0.013458705813612401,32682.4545321,3.125e-06
25,0.9892298307544832,0.9778,0.028018928394919457,0.07327150325101656,0.9949,0.013199961801504121,31222.1645851,3.125e-06
